Abisara attenuata;"Arunachal Pradesh, India, Changlang District, Namdapha NP, Deban"
Argynnis childreni;"Near Shatuza Village, West Kameng District, Lower Mukrung, Sarahan Bushahr, Dzulekie, Taluka Village, Shimla District, North Sikkim District, Darjeeling District, Uttarakhand, Sikkim, Phek District, Rishop, Tingvong, Paschimbanga, Himachal Pradesh, Nagaland, Upper Dzongu, Phuba, Kohima District, Uttarkashi District, Geyzing, India, Jotsoma Village, Tingvong-Lingzya, Manipur, Senapati District, Shathiiya, West Sikkim District, Eaglenest WLS, Arunachal Pradesh, Govind Pashu NP, Khonoma"
Argynnis hybrida;"Carrington Forest, Ooty Racecourse, Udhagamandalam, Gudalore Ooty Road, Nilgiri District, Tamil Nadu, India"
Argynnis hyperbius;"Mahendragiri, ICAR Farm Complex, West Kameng District, Tadong, Ghingharutola Village, North Sikkim District, Jayanti, Uttarakhand, Ramaling, Dehradun District, Sikkim, Buxa TR, Aizawl District, Aizwal, Wildlife Institute Of India, East Sikkim District, Tingvong, Paschimbanga, Upper Dzongu, Phuba, Sivasagar, Odisha, Rimbi, Nainital District, Alipurduar District, Fairy Hall Forest Compound, Assam, Sivasagar District, India, Tingvong-Lingzya, Manipur, Senapati District, Gajapati District, Bhimtal, Mizoram, East Khasi Hills District, Sattal Lake, Bageshwar District, Mawkisyiem, Meghalaya, Nainital, Cherrapunjee, West Sikkim District, Eaglenest WLS, Arunachal Pradesh, Lama Camp"
Argynnis kamala;"Govindghat, India, Chamoli District, Uttarakhand"
Arhopala abseus;"Baghmara RF, Karwani, Sikkim, Kumrek, South Garo Hills District, Karnataka, Alipurduar District, Buxa TR, Siddapur, Meghalaya, Near Rangpo, East Sikkim District, Paschimbanga, India, Jayanti, Halgeri, Uttara Kannada District"
Arhopala alea;"Bhagwan Mahaveer WLS, Kalakkad Mundanthurai Tiger Reserve, South Goa District, Kerala, Tirunelveli District, Shivamogga District, Halgeri, Agumbe Valley, Silent Valley NP, Karnataka, Udupi District, Karamanayar, Palakkad District, Tamil Nadu, Uttara Kannada District, Thiruvananthapuram  District, Goa, Siddapur, India, Manjolai, Someshwara WLS, Aralam WLS, Kannur  District, Peppara WLS"
Arhopala amantes;"Matheran, Stella Maris College, Chittorgarh District, Dadra and Nagar Haveli District, Jabalpur District, Burikhamari RF, Pyramid Valley, Gujarat, Kerala, Ramnagar district, Jayanti, Uttarakhand, Halgeri, Tamhanmala, Sanjay Gandhi NP, Pelhar Dam, Dadra & Nagar Haveli, Karnataka, Buxa TR, Guindy NP, Ratnagiri District, Paschimbanga, Silvassa, Raigad District, Tamil Nadu, Sindhudurg District, Mayurbhanj District, Gadchiroli District, Uttara Kannada District, Maharashtra Nature Park, Odisha, Mahim, Chennai District, Nainital District, Chanderiya, Polo Forest, Alipurduar District, Kanakpura Taluk, Siddapur, Porla, Thane District, Madhya Pradesh, Bengaluru Urban District, Rajasthan, Pawalgarh Conservation Reserve, India, Yeoor, Chennai, Mumbai City District, Indiranagar, Maharashtra, Aralam WLS, Amboli, Kannur  District, J.P. Nagar RF, Vasai, Sabar Kantha District, Dhobi RF"
Arhopala ammonides;"Baghmara RF, Karwani, South Garo Hills District, Meghalaya, Namdapha NP, Lunkai Nullah, Arunachal Pradesh, India, Changlang District"
Arhopala athada;"India, Alipurduar District, Buxa TR, Jayanti, Paschimbanga"
Arhopala atrax;"Pawalgarh Conservation Reserve, Pachmarhi, Baghmara RF, Uttarakhand, Karwani, Nainital District, South Garo Hills District, Alipurduar District, Buxa TR, Madhya Pradesh, Meghalaya, Chilapata WLS, Puruliya District, Kanha NP, Paschimbanga, Jim Corbett NP, India, Baghmundi, Jayanti, Mandla District, Hoshangabad District"
Arhopala bazaloides;"Shendurney WLS, South Goa District, Kerala, Hoollongapar Gibbon Sanctuary, Changlang District, Pokkunnu, Halgeri, Deban, Karnataka, Rosemala, Udupi District, Cotigao WLS, Paschimbanga, Bhagwan Mahavir WLS, Uttara Kannada District, Alipurduar District, Goa, Siddapur, Assam, Namdapha NP, India, North Goa District, Someshwara WLS, Jorhat District, Kozhikode District, Chilapata WLS, Tambdi Surla Waterfall Route, Arunachal Pradesh, Kollam District"
Arhopala bazalus;"Shama, West Kameng District, West Seijosa, Hoollongapar Gibbon Sanctuary, Changlang District, Jayanti, Uttarakhand, Ramaling, Deban, Sikhar Hill, Pakke TR, Buxa TR, Paschimbanga, Alipurduar District, Assam, Namdapha NP, India, Miao-Deban Road, East Khasi Hills District, Jorhat District, Bageshwar District, Cherrapunjee, Meghalaya, 17th Mile, East Kameng District, Eaglenest WLS, Arunachal Pradesh"
Arhopala belphoebe;"Manas NP, Bhalukpong Ghat, Pakke TR, Assam, Baksa District, East Kameng District, Arunachal Pradesh, India"
Arhopala birmana;"West Kameng District, Alipurduar District, Buxa TR, Tenga Valley, Paschimbanga, Namdapha NP, Arunachal Pradesh, India, Changlang District"
Arhopala camdeo;"Tripura, Garjee, Paham Village, Ri Bhoi District, Meghalaya, Kalapania Nature Park, South Tripura District, India"
Arhopala centaurus;"Perambra, South Garo Hills District, Dimapur District, Borojan RF, Khowai, Kerala, Thiruvananthapuram, Hoollongapar Gibbon Sanctuary, Changlang District, Pokkunnu, Jayanti, South Andaman District, Port Blair, Baghmara RF, Kamrup District, Near Ferrargunj, Netravali WLS, Tripura, Pakke TR, Karwani, Degve, Chalsa, Buxa TR, Malappuram District, Dimapur, Paschimbanga, Garbhanga Reserve Forest, Sindhudurg District, Nagaland, Near Banda, Jalpaiguri District, Maharashtra Nature Park, Sivasagar, Chidiya Tapu, Thiruvananthapuram  District, Alipurduar District, Goa, Thane District, Assam, Chatham Saw Mill, West Singhichara, Namdapha NP, Mount Harriet NP, India, Guwahati, North Goa District, Vaniyambalam, Mumbai City District, Anamika Falls, Ponda, Maharashtra, Aralam WLS, Jorhat District, Amboli, Kannur  District, Kozhikode District, Tinsukia District, Mangeshi, Meghalaya, Chelembra, Chilapata WLS, Khowai District, East Kameng District, Tungareshwar WLS, Arunachal Pradesh, Sivasagar District, Andaman and Nicobar Islands"
Arhopala comica;"Haldibari, 19th Mile, Phek District, Chizami, India, Namdapha NP, Lunkai Nullah, Arunachal Pradesh, Nagaland, Changlang District"
Arhopala curiosa;"West Kameng District, Arunachal Pradesh, India, Lama Camp, Eaglenest WLS"
Arhopala dispar;"Nagaland, India, Intanki NP, Peren District"
Arhopala dodonaea;"Bhimtal, Kilbury Divison, Nainital District, Dalhousie, Chamba District, Himachal Pradesh, India, Uttarakhand, Pangot"
Arhopala eumolphus;"Manipur, Senapati District, Mayangkhang, Hoollongapar Gibbon Sanctuary, India, Jorhat District, Alipurduar District, Buxa TR, Dimapur District, Assam, Namdapha NP, Paschimbanga, Dimapur, Arunachal Pradesh, Nagaland, Changlang District, Lunkai Nullah, Deban"
Arhopala fulla;"Baghmara RF, Karwani, Jalpaiguri District, South Garo Hills District, Chalsa, Alipurduar District, Buxa TR, Meghalaya, Paschimbanga, India"
Arhopala ganesa;"Shama, Bhimtal, Tehri Garhwal District, Dhanaulti, Sikhar Hill, Nainital District, Dalhousie, Chamba District, Bageshwar District, Ghingharutola Village, Ayarpatta, Himachal Pradesh, India, Uttarakhand"
Arhopala khamti;"near Seijosa, Sukhanala, Pakke TR, East Kameng District, Namdapha NP, Arunachal Pradesh, India, Changlang District, Deban"
Arhopala oenea;"near Seijosa, Sukhanala, Hoollongapar Gibbon Sanctuary, Pakke TR, Jorhat District, Alipurduar District, Buxa TR, Assam, East Kameng District, Paschimbanga, Arunachal Pradesh, India, Jayanti"
Arhopala paraganesa;"Haldibari, Kathayat Bara Village, Kapkote Village, Agasthmuni, Bageshwar District, Rudraprayag District, Namdapha NP, Arunachal Pradesh, India, Changlang District, Uttarakhand"
Arhopala paramuta;"Hoollongapar Gibbon Sanctuary, Jorhat District, Alipurduar District, Assam, 17th Mile, Chilapata WLS, Namdapha NP, Paschimbanga, Arunachal Pradesh, India, Changlang District, Deban"
Arhopala perimuta;"South Garo Hills District, Near Joychandrapur, Trishna WLS, Ngengpui WLS, Champhai District, Baghmara RF, Karwani, Tripura, Pakke TR, Buxa TR, Dibrugarh District, South Tripura District, Paschimbanga, Alipurduar District, Assam, India, Mizoram, Jokai Botanical Gardens, Meghalaya, Chilapata WLS, East Kameng District, Arunachal Pradesh"
Arhopala rama;"Bhimtal, Dehradun District, Nainital District, West Kameng District, Benog WLS, Ghingharutola Village, Bageshwar District, Tenga Valley, Eaglenest WLS, Arunachal Pradesh, India, Uttarakhand"
Arhopala silhetensis;"Baghmara RF, Karwani, Hoollongapar Gibbon Sanctuary, Pakke TR, South Garo Hills District, Jorhat District, Moulvibazar District, Assam, Near Moulvibazar, Meghalaya, Khadi (Khari), East Kameng District, Arunachal Pradesh, India, Sylhet, Bangladesh"
Arhopala singla;"Phek District, Panikheti, Near Shatuza Village, India, Alipurduar District, Buxa TR, Paschimbanga, Nagaland, Jayanti"
Ariadne ariadne;"Bandipur TR, Perambra, Balpakram NP, South Garo Hills District, Baidyabati, West Godavari District, Gujarat, Kerala, Phansad WLS, Chamrajnagar District, DVC Canal, Satara, Hooghly District, Block - Velhe, Camp Geedee, Ragihalli, Pakke TR, Karnataka, Hyderabad Urban District, Parambikkulam WLS, Ramoji Film City, Rajkot District, Araku Lake, Udupi District, Kudlu Teertha, Malappuram District, Ratnagiri District, Palakkad District, Paschimbanga, Raigad District, Sindhudurg District, Lonand, Hesaraghatta Lake, Vishakhapatnam District, Hingolgadh Nature Education Sanctuary, Kolleru Lake, Pune District, Bengaluru Urban District, Biligiri Rangaswamy Temple WLS, Gongrot, Srikakulam District, Shirkoli, India, Telangana, Vaniyambalam, Karle Home Stay, Andhra Pradesh, Maharashtra, Panshet Catchment, Valley School, Satara District, Amboli, Kozhikode District, Hassan District, Meghalaya, Kumbharli Ghat, Chiplun, Dhuna Nala, East Kameng District, J.P. Nagar RF, Arunachal Pradesh, Gopalaswamy Betta, Siripuram"
Ariadne merione;"Goverment Guest House, Kerala, Changlang District, Dodda Kammanahalli, Kamrup District, Haveri District, Buxa TR, Khadi (Khari), Paschimbanga, Tamil Nadu, Jigani, Gadchiroli District, Chhattisgarh, Tarapur, Bengaluru Urban District, Nakachari, Raipur District, Vaniyambalam, Manipur, Palghar District, Andhra Pradesh, Pune, Burnihat, Athigundi Village, Amboli, East Kameng District, Byadgi Taluk, Aurangabad, Nagadera Gaon, Rambagh Gardens, Phura, Hoollongapar Gibbon Sanctuary, Satara, Amritsar Urban District, Yelachennahalli, Makutta, Dehradun District, Nimmakuru Village, Tripura, Pakke TR, Hyderabad Urban District, Sanjeevaiah Park, Madivala Lake, Bhandup Pumping Station, Begur Hobli, Pune District, Assam, India, Telangana, Punjab, Senapati District, Mizoram, Uttar Pradesh, ISACON Vatika, Jorhat District, Landorkhore, Nainital, Prashanti Kutiram, Arunachal Pradesh, Tiruvanamala District, Aurangabad District, Kolkata District, Sanjay Gandhi NP, Karnataka, Kodagu District, Maharashtra Nature Park, Alipurduar District, CASFOS campus, West Singhichara, Namdapha NP, Chikkamagaluru District, Yeoor, Jhari Eco Stay, Mumbai City District, Maharashtra, Satara District, Jalgaon District, Kadaramandalagi, J.P. Nagar RF, Urja Park, Pashan, Boisar, Uttarakhand, Deban, Kolkata, Chakrata, Senapati, Lucknow District, Krishna District, Mara Autonomous District, Malappuram District, Sindhudurg District, Nainital District, Bhatchala(south), Thane District, Mumbai Suburban District, Bardhaman District, Agricultural University, Ponmudi, Ramana Nagar, Shodhgram, Mamurabadroad, SGPGI Campus, Khowai District, Chatgaon"
Aricia agestis;"Tehri Garhwal District, Dehradun District, Chakrata, Binsar WLS, Mandi District, Jammu and Kashmir, Srinagar, Bangshil Nala, Benog WLS, Devalsari, Bairi, Pahalgam, Bilaspur District, Almora District, Jukhala, Anantnag (Kashmir South) District, Shankaracharya Temple Road, Himachal Pradesh, India, Uttarakhand, Srinagar District"
Arnetta atkinsoni;"Manipur, Senapati District, Manas NP, Phek District, Jalpaiguri District, Pygmy Hog Research And Breeding Centre, Panikheti, Near Shatuza Village, Barpeta District, Alipurduar District, Buxa TR, Assam, Nagaland, Gorumara NP, Baksa District, Ripu-Chirang Reserve Forest, Paschimbanga, Senapati To Sorbung Road, Jalpaiguri, India, Kokrajhar District"
Arnetta mercara;"Madikeri, Honey Valley, Bhagamandala, Karnataka, Sattaram, Kattalappara, Devala, Periyar TR, Wayanad District, Nilgiri District, Tamil Nadu, Kerala, Kodagu District, Lakkidi, Idukki District, India, Kollam District, Madhuvana Estate"
Arnetta vindhiana;"Madikeri, IIT Bombay, Honey Valley, Matheran, Jawhar, Tungareshwar WLS, Kakkayam, Iruppu Falls, Kerala, Sakleshpur, Thane, Satara, Zaap village, Tamhanmala, Sandavali, Sanjay Gandhi NP, Bhagamandala, Karnataka, Chelavara Water Falls, Rottikalu, Ratnagiri District, Nagla Block, Raigad District, Tamil Nadu, Kanheri Caves, Kodagu District, Sindhudurg District, Devala, Pune District, Thane District, Nilgiri District, Malabar WLS, Amravati District, Mumbai Suburban District, Sinhagad, India, Yeoor, Powai, Thirunelli, Melghat TR, Maharashtra, Satara District, Amboli, Kozhikode District, Wayanad District, Hassan District, Thoseghar, Madhuvana Estate"
Artipe eryx;"Alipurduar District, Buxa TR, Tinsukia District, Assam, Paschimbanga, Margherita, India"
Astictopterus jama;"Chizami, Old Jirang, Gomati, Gomati district, Botanical Gardens, Maharani, Changlang District, Deban, Howrah District, Phek District, Tripura, Aizawl District, Ri Bhoi District, South Tripura District, Paschimbanga, Nagaland, Tlawang River, Barpeta District, Gumti WLS, Assam, Namdapha NP, Domjur, India, Dakshin Baramura Debtamura RF, Mizoram, Pygmy Hog Research And Breeding Centre, Meghalaya, Arunachal Pradesh, Near Warengbari"
Athyma asura;"Tehri Garhwal District, Baghmara RF, Karwani, Arunachal Pradesh, Dharamshala, South Garo Hills District, India, Dimapur District, Kangra District, Devalsari, Dal Lake, Above Mcleodganj, Meghalaya, Namdapha NP, Piphema (near Pherima), Himachal Pradesh, Nagaland, Changlang District, Uttarakhand, Deban"
Athyma cama;"Aizwal-Reiek Road, South Garo Hills District, Phura, North Sikkim District, Changlang District, Deban, Baghmara RF, Karwani, Sikkim, Pasingdang, Aizawl District, Vaipuanpho Camp, Ri Bhoi District, Aizwal, Mara Autonomous District, Senapati To Sorbung Road, Upper Dzongu, Paham Village, Mawlong-Terna Road, Namdapha NP, India, Manipur, Mizoram, Anamika Falls, Senapati District, East Khasi Hills District, Cherrapunjee, Meghalaya, Arunachal Pradesh"
Athyma inara;"Pushpakandam, Matheran, Honey Valley, Karbi Anglong District, Nedumkandam, Balpakram NP, South Garo Hills District, Rangitnagar, Kalakkad Mundanthurai Tiger Reserve, South Sikkim District, Borojan RF, Khowai, Kerala, Sakleshpur, Lunkai Nullah, Tirunelveli District, Changlang District, Shivamogga District, Block - Velhe, Hoollongapar Gibbon Sanctuary, Deban, Baghmara RF, Karwani, Sikkim, Chirgaon, Tripura, Kamrup District, Pakke TR, Karnataka, Baramura Eco Park, Buxa TR, Barkana Falls, Khadi (Khari), Kallar-Ponmudi, Mara Autonomous District, Ratnagiri District, Paschimbanga, Idukki District, Tamil Nadu, Bongaigaon District, Kodagu District, Raigad District, Agumbe, Sindhudurg District, Mhasala Taluka, Soraipung RF, Thiruvananthapuram  District, Alipurduar District, CASFOS campus, Pune District, Assam, Gongrot, Bhumeswar Hill, Namdapha NP, Kakkur, Shirkoli, India, Manjolai, Mizoram, Burnihat, Maharashtra, Panshet Catchment, Bongaigaon, Jorhat District, Amboli, Kozhikode District, Tinsukia District, Hassan District, Lungpuk, Meghalaya, Chilapata WLS, Khowai District, East Kameng District, Kumbharli Ghat, Chiplun, Arunachal Pradesh, Dhuna Nala, Garampani WLS"
Athyma jina;"Manipur, Senapati District, Sikkim, Pange, Mayangkhang, Banjhakri Waterfalls, Lower Subansiri District, Pasingdang, North Sikkim District, East Sikkim District, Tingvong, Talley WLS, Dzongu, Arunachal Pradesh, India, Upper Dzongu, Tingvong-Lingzya, Ring Khola"
Athyma kanwa;"Mizoram, Ultapani, Tripura, Hoollongapar Gibbon Sanctuary, Pakke TR, Deban, Jorhat District, Assam, Mara Autonomous District, East Kameng District, Unakoti, Phura, Arunachal Pradesh, India, Changlang District, Kokrajhar District, Namdapha NP, Unakoti District"
Athyma opalina;"Tehri Garhwal District, Bhimtal, Dehradun District, Shimla, Chakrata, Lungshu Nala, Dharamshala, Nainital District, Sattal Lake, Kangra District, Benog WLS, Devalsari, Above Mcleodganj, Almora District, Shimla District, Ranikhet, Dal Lake, Himachal Pradesh, India, Uttarakhand"
Athyma orientalis;"19th Mile, Sikkim, Phek District, East Khasi Hills District, Chizami, West Kameng District, Nagaland, Cherrapunjee, Meghalaya, North Sikkim District, 17th Mile, Mawkisyiem, Namdapha NP, Eaglenest WLS, Changlang District, Arunachal Pradesh, India, Upper Dzongu, Tingvong-Lingzya, Deban"
Athyma perius;"Sukhana Lake, Madikeri, Mahabaleshwar, Chandigarh, Pushpakandam, Balpakram NP, Kathayat Bara Village, Nedumkandam, Bankura District, South Garo Hills District, Araku valley, Taldangra Eco Park, Baramura Hill, Shendurney WLS, Pachad, Kerala, Sakleshpur, Hoollongapar Gibbon Sanctuary, Darjeeling District, Uttarakhand, Halgeri, Rajmachi, Kamrup District, Tripura, Ultapani, Saalugudda Homestay, Karnataka, Senapati, Baramura Eco Park, Rottikalu, Udupi District, Suntale Khola, Paschimbanga, Idukki District, Raigad District, Nashik District, Kodagu District, Sindhudurg District, Uttara Kannada District, Vishakhapatnam District, Panvel, Balpakram Plateau, Near AAU Campus, Pune District, Hiranyakeshi, Assam, Siddapur, Ramchandraghat, Rani, India, Jamuguri Gaon, Someshwara WLS, Kamshet,, Manipur, Senapati District, Tikona Fort, Andhra Pradesh, Maharashtra, Satara District, Jorhat District, Matheran, Chandigarh District, Amboli, Bageshwar District, Hassan District, Meghalaya, Khowai District, Kollam District, Kokrajhar District, Anjaneri"
Athyma pravara;"Balpakram NP, South Garo Hills District, Phura, Lunkai Nullah, Hoollongapar Gibbon Sanctuary, Changlang District, Ultapani, Pakke TR, Buxa TR, Khadi (Khari), Mara Autonomous District, Paschimbanga, Soraipung RF, Alipurduar District, Assam, Gongrot, Namdapha NP, India, Mizoram, Rajabhatkhawa, Anamika Falls, Jorhat District, Tinsukia District, Lungpuk, Meghalaya, East Kameng District, Arunachal Pradesh, Kokrajhar District"
Athyma ranga;"Balpakram NP, South Garo Hills District, Baramura Hill, Whistling Woods Campus, Kodagu, Kerala, Lunkai Nullah, North Sikkim District, Thenmala, Changlang District, Ayyanar Falls, Deban, Halgeri, Baghmara RF, Karwani, Sikkim, Tripura, Sonapyrdi, Pakke TR, Karnataka, Pasingdang, Buxa TR, Banasura Sagar Dam, Udupi District, Kudlu Teertha, Khadi (Khari), Dibrugarh District, Paschimbanga, Idukki District, Tamil Nadu, Upper Dzongu, Kodagu District, Sindhudurg District, Uttara Kannada District, Pathanamthitta District, Soraipung RF, Alipurduar District, Siddapur, Neerchal, Assam, Gongrot, Namdapha NP, Anamudi Shola NP, Sabarimala, India, Periyar TR, Anamika Falls, 23rd Mile, Dabit, Maharashtra, Aralam WLS, Jaintia Hills District, Amboli, Kannur  District, Tinsukia District, Wayanad District, Dhuna Nala, Meghalaya, Kasaragod District, Khowai District, East Kameng District, Jokai Reserve Forest, Virudhunagar District, Arunachal Pradesh, Kollam District"
